STT,Model / Module,Trường dữ liệu,Module phụ trách,Nhân sự đảm nhận,Deadline,Độ ưu tiên,Trạng thái
1,Customer,"id, hoTen, email, soDienThoai, diaChi, ngaySinh, gioiTinh, trangThai, ngayDangKy, soXe, tongChiTieu, avatar",CRM Admin & Customer Profile,Giang,21/9,High (P0),
2,Vehicle,"id, customerId, tenXe, bienSo, namSanXuat, hanBaoHanh, mauSac, trangThaiBaoHanh, soKhung, hinhAnh",Quản lý Xe & Bảo hành Điện tử,Giang,,High (P0),
3,ShowroomVehicle,"id, tenXe, hang, phanKhuc, giaNiemYet, mauSac, moTa, hinhAnh, coTheLaiThu, dongCo, congSuat",Admin Kho xe & Showroom Khách,Phương,23/9,Medium (P1),
4,Part,"id, tenSanPham, thuongHieu, giaGoc, giaKhuyenMai, soLuongTon, danhMuc, moTa, hinhAnh, rating, luotDanh",Admin Phụ tùng & Store Khách,Phương,,High (P0),
5,CartItem / Cart,"part: Part, soLuong: number",E-Commerce Khách hàng,Minh,25/9,Medium (P1),
6,Order,"id, customerId, hoTenKH, ngayDat, trangThai, tongTien, diaChiGiao, items: OrderItem[]",Đặt hàng Khách & Admin Đơn hàng,Minh,,High (P0),
7,Appointment,"id, customerId, hoTenKH, soDienThoai, loaiDichVu, ngayHen, gioHen, trangThai, ghiChu, tenXe, bienSo",Đặt lịch dịch vụ / Lái thử,Minh,,Medium (P1),
8,Feedback,"id, customerId, hoTen, noiDung, diemDanhGia, ngayGui, loaiDanhGia, trangThai, loaiNhan",Admin Xử lý Khiếu nại & Đánh giá,Nghĩa,27/9,Low (P2),
9,Survey & Question,"id, title, description, targetCustomerId, createdDate, questions: SurveyQuestion[], status",Admin Tạo & Gửi Khảo sát,Nghĩa,,Medium (P1),
10,SurveyResponse,"id, surveyId, customerId, customerName, answers: Record<string, string>, submittedDate",Khách làm khảo sát & Admin xem KQ,Nghĩa,,Medium (P1),
11,StaffAccount & AdminRole,"id, hoTen, email, soDienThoai, chucVu, vaiTro, trangThai, avatar, ngayThamGia",Quản lý Phân quyền Staff & Topbar Switcher,Lộc,29/9,High (P0),
12,RevenueAnalytics,"period, revenueData, revenueBySource",Biểu đồ Dashboard & Báo cáo Doanh thu,Lộc,,High (P0),
13,ImageUploader,"value, onChange, label, error, placeholder, FileReader Base64",Component dùng chung toàn bộ App,Lộc,,High (P0),
